
VALID | LP192067383SG : Delivered  : China : Indonesia : 2021-02-17 09:56:00
VALID | LP195200926SG : Delivered  : China : Indonesia : 2021-04-06 16:01:00
VALID | LP195567967SG : -Despatched to OverSeas Postal Admin (From SG/SIN to NZ/AKL)  : China : New Zealand : 2021-03-23 14:36:02
VALID | LP193860719SG : Delivered  : China : New Zealand : 2021-03-25 11:34:00
VALID | LP191865143SG : [埼玉県,336-8799]お届け済み  : China : Japan : 2021-02-12 10:13:00
VALID | LP197190210SG : Received by line-haul  : China : Japan : 2021-04-06 12:37:54
VALID | LP192296063SG : -Send item out for physical delivery (Country: ID)  : China : Indonesia : 2021-02-22 09:28:00
VALID | LP191397216SG : Final delivery,Delivered to: RICHARD  : China : Kampuchea : 2021-02-15 15:06:00
VALID | LP196550605SG : -Despatched to OverSeas Postal Admin (From SG/SIN to NZ/AKL)  : China : New Zealand : 2021-04-02 09:30:34
VALID | LP192007005SG : [京都府,618-8799]お届け済み  : China : Japan : 2021-02-24 11:44:00
VALID | LP190798297SG : Final delivery,Delivered to: /SECURITY GUARD  : China : Thailand : 2021-02-03 12:17:00
VALID | LP193975787SG : Returned to Lodger  : China : Japan : 2021-03-31 11:18:37
VALID | LP194227803SG : Final delivery,Delivered to: VANICH/ADDRESSEE  : China : Thailand : 2021-03-15 11:32:00
VALID | LP192648281SG : -Send item out for physical delivery (Country: ID)  : China : Indonesia : 2021-03-16 09:13:00
VALID | LP191576138SG : [兵庫県,662-8799]お届け済み  : China : Japan : 2021-02-13 10:57:00
VALID | LP195697803SG : [和歌山県,644-8799]お届け済み  : China : Japan : 2021-04-05 14:55:00
VALID | LP193587677SG : Delivered  : China : China : 2021-03-08 14:47:00
VALID | LP196965109SG : -Despatched to OverSeas Postal Admin (From SG/SIN to KR/SEL)  : China : South korea : 2021-04-05 10:53:02
VALID | LP190614489SG : Final delivery,Delivered to: SANSUCHAN  : China : Kampuchea : 2021-02-09 11:39:00
VALID | LP190113978SG : Shipment cancelled  : China : China : 2021-01-13 14:37:14
VALID | LP192159204SG : Final delivery,Delivered to: /GUARD  : China : Thailand : 2021-02-15 13:30:00
VALID | LP194419012SG : Transit to Destination Processing Facility  : China : Malaysia : 2021-03-19 09:49:00
VALID | LP195400162SG : -Despatched to OverSeas Postal Admin (From SG/SIN to NZ/AKL)  : China : New Zealand : 2021-03-24 09:24:44
VALID | LP193479160SG : Product Delivered (Country code: TH)  : China : Thailand : 2021-03-12 11:33:00
VALID | LP195562474SG : -Hold item at point of delivery (Country: ID)  : China : Indonesia : 2021-04-03 10:18:00
VALID | LP192656075SG : Final delivery,Delivered to: JATURONG/ADDRESSEE  : China : Thailand : 2021-02-27 13:32:00
VALID | LP194162020SG : Information Received  : China : Indonesia : 2021-03-31 15:00:00
VALID | LP191845373SG : Shipment cancelled  : China : Japan : 2021-02-01 14:22:44
VALID | LP191480179SG : Shipment cancelled  : China : Thailand : 2021-02-05 17:27:46
VALID | LP194303677SG : Shipment cancelled  : China : Indonesia : 2021-03-12 11:09:03
VALID | LP193995512SG : Product Delivered (Country code: MY)  : China : Malaysia : 2021-03-17 11:47:00
VALID | LP190311528SG : Shipment cancelled  : China : Indonesia : 2021-01-26 12:23:55
VALID | LP192247028SG : Delivered  : China : Vietnam : 2021-03-04 17:09:00
VALID | LP191539016SG : -Hold item at point of delivery (Country: ID)  : China : Indonesia : 2021-03-05 02:05:00
VALID | LP196603983SG : -Despatched to OverSeas Postal Admin (From SG/SIN to HK/HKG)  : China : China : 2021-04-08 11:09:59
VALID | LP193919357SG : -Send item out for physical delivery (Country: ID)  : China : Indonesia : 2021-03-16 10:36:00
VALID | LP192912397SG : -Send item out for physical delivery (Country: ID)  : China : Indonesia : 2021-03-03 15:38:00
VALID | LP194507511SG : [SAITAMA,346-8799]Final delivery  : China : Japan : 2021-03-22 12:50:00
VALID | LP193516313SG : Delivered  : China : South korea : 2021-03-15 14:54:00
VALID | LP193418639SG : Send item out for physical delivery  : China : Indonesia : 2021-03-15 15:43:00
VALID | LP196584771SG : -Despatched to OverSeas Postal Admin (From SG/SIN to KR/SEL)  : China : South korea : 2021-04-05 18:09:09
VALID | LP190787232SG : Delivered  : China : South korea : 2021-02-09 12:31:00
VALID | LP191820632SG : Send item out for physical delivery  : China : Japan : 2021-02-12 15:59:00
VALID | LP191123225SG : Delivered  : China : China : 2021-02-01 10:51:00
VALID | LP195433982SG : Shipment cancelled  : China : Indonesia : 2021-03-24 10:32:08
VALID | LP194373718SG : Final delivery,Delivered to: /RESIDENT  : China : Thailand : 2021-03-12 13:37:00
VALID | LP190029379SG : Delivered (126126: BCP Long Biên 2 - Hà Nội )  : China : Vietnam : 2021-02-03 12:49:00
VALID | LP195110868SG : Delivered  : China : Kampuchea : 2021-04-01 18:17:00
VALID | LP196225592SG : Final delivery,Delivered to: TASSANEE/RESIDENT  : China : Thailand : 2021-04-01 10:51:00
VALID | LP190168628SG : [SHIZUOKA,435-8799]Final delivery - Collected at counter  : China : Japan : 2021-01-25 17:49:00
VALID | LP196188078SG : Delivered  : China : South korea : 2021-04-05 09:39:00
VALID | LP191541995SG : Product Delivered (Country code: KR)  : China : South korea : 2021-02-10 13:22:00
VALID | LP192730519SG : [千葉県,276-8799]お届け済み  : China : Japan : 2021-03-02 12:11:00
VALID | LP197146437SG : Received by line-haul  : China : Thailand : 2021-04-06 15:23:52
VALID | LP194148059SG : Shipment cancelled  : China : Japan : 2021-03-10 22:55:30
VALID | LP190859380SG : [NAGANO,395-8799]Final delivery  : China : Japan : 2021-02-04 16:14:00
VALID | LP194459334SG : Shipment cancelled  : China : Malaysia : 2021-03-15 19:21:42
VALID | LP195551539SG : [AICHI,476-8799]Final delivery  : China : Japan : 2021-03-31 12:04:00
VALID | LP197163510SG : Received by line-haul  : China : Thailand : 2021-04-07 18:02:54
VALID | LP190966239SG : Delivered  : China : South korea : 2021-02-10 11:24:00
VALID | LP195504750SG : Shipment cancelled  : China : Indonesia : 2021-03-24 18:13:09
VALID | LP194418927SG : Delivered  : China : Kampuchea : 2021-03-25 16:19:00
VALID | LP191150155SG : Final delivery,Delivered to: USA VICHIANWANTANA 2/ADDRESSEE  : China : Thailand : 2021-02-05 17:10:00
VALID | LP192407895SG : Delivered  : China : South korea : 2021-03-04 14:27:00
VALID | LP190027333SG : Send item out for physical delivery  : China : Indonesia : 2021-02-02 08:43:00
VALID | LP196451316SG : Shipment cancelled  : China : Japan : 2021-03-31 17:33:30
VALID | LP196545282SG : -Despatched to OverSeas Postal Admin (From SG/SIN to ID/JKT)  : China : Indonesia : 2021-04-03 20:25:54
VALID | LP191110037SG : Send item out for physical delivery  : China : Indonesia : 2021-02-11 11:36:00
VALID | LP193527109SG : Item delivered   : China : Indonesia : 2021-03-19 15:54:00
VALID | LP195275805SG : Final delivery,Delivered to: /ELDER BROTHER  : China : Thailand : 2021-03-23 09:27:00
VALID | LP191710169SG : Delivered (971050: BC Phát TP Cà Mau - Cà Mau )  : China : Vietnam : 2021-03-17 15:38:00
VALID | LP196451174SG : -Arrival at Destination Postal Admin (From SG/SIN to ID)  : China : Indonesia : 2021-04-06 11:51:00
VALID | LP190214336SG : -Send item out for physical delivery (Country: ID)  : China : Indonesia : 2021-01-27 09:43:00
VALID | LP191079460SG : Delivered  : China : Japan : 2021-02-10 12:36:00
VALID | LP196603793SG : Shipment cancelled  : China : Indonesia : 2021-04-08 09:56:36
VALID | LP195332388SG : [栃木県,323-8799]お届け済み  : China : Japan : 2021-03-27 11:19:00
VALID | LP196244455SG : Delivered  : China : Malaysia : 2021-04-06 13:20:00
VALID | LP194845412SG : Delivered  : China : China : 2021-03-20 12:33:00
