VALID | LX986428585US : USPS
VALID | LX068317990US : USPS
VALID | LX172850070US : USPS
VALID | LX394152627US : USPS
VALID | LX699954236US : USPS
VALID | LX625551424US : USPS
VALID | LX575088078US : USPS
VALID | LX528429126US : USPS
VALID | LX241949405US : USPS
VALID | LX741767972US : USPS
VALID | LX824337696US : USPS
VALID | LX493878217US : USPS
VALID | LX616800152US : USPS
VALID | LX900194545US : USPS
VALID | LX177008838US : USPS
VALID | LX134262763US : USPS
VALID | LX015050512US : USPS
VALID | LX967633910US : USPS
VALID | LX297485612US : USPS
VALID | LX358440789US : USPS
VALID | LX573143809US : USPS
VALID | LX161628595US : USPS
VALID | LX958451777US : USPS
VALID | LX364124665US : USPS
VALID | LX180269083US : USPS
VALID | LX136173836US : USPS
VALID | LX059332809US : USPS
VALID | LX512052735US : USPS
VALID | LX243554511US : USPS
VALID | LX547742291US : USPS
VALID | LX827354813US : USPS
VALID | LX713000680US : USPS
VALID | LX922158357US : USPS
VALID | LX605286717US : USPS
VALID | LX334221040US : USPS
VALID | LX839500447US : USPS
VALID | LX030355299US : USPS
VALID | LX516876446US : USPS
VALID | LX626089393US : USPS
VALID | LX269705602US : USPS
VALID | LX277963343US : USPS
VALID | LX214330582US : USPS
VALID | LX241670431US : USPS
VALID | LX753737596US : USPS
VALID | LX938313360US : USPS
VALID | LX878395212US : USPS
VALID | LX924961981US : USPS
VALID | LX355115136US : USPS
VALID | LX755200871US : USPS
VALID | LX956061716US : USPS
VALID | LX373352606US : USPS
VALID | LX058036358US : USPS
VALID | LX035835460US : USPS
VALID | LX061654432US : USPS
VALID | LX051210008US : USPS
VALID | LX515545285US : USPS
VALID | LX719296601US : USPS
VALID | LX846257868US : USPS
VALID | LX636364064US : USPS
VALID | LX601166210US : USPS
VALID | LX289883173US : USPS
VALID | LX144475902US : USPS
VALID | LX400313650US : USPS
VALID | LX783956208US : USPS
VALID | LX086800664US : USPS
VALID | LX897369328US : USPS
VALID | LX366113308US : USPS
VALID | LX160142497US : USPS
VALID | LX331116891US : USPS
VALID | LX978099818US : USPS
VALID | LX833253451US : USPS
VALID | LX854220351US : USPS
VALID | LX959885145US : USPS
VALID | LX866465559US : USPS
VALID | LX689060323US : USPS
VALID | LX827208839US : USPS
VALID | LX236029291US : USPS
VALID | LX917979291US : USPS
VALID | LX738786535US : USPS
VALID | LX999408372US : USPS
VALID | LX910675985US : USPS
VALID | LX556654580US : USPS
VALID | LX715021843US : USPS
VALID | LX863968699US : USPS
VALID | LX409741706US : USPS
VALID | LX692085921US : USPS
VALID | LX871681275US : USPS
VALID | LX448732377US : USPS
VALID | LX404823481US : USPS
VALID | LX826847929US : USPS
VALID | LX486766114US : USPS
VALID | LX010630097US : USPS
VALID | LX173912363US : USPS
VALID | LX723833061US : USPS
VALID | LX890124499US : USPS
VALID | LX710875017US : USPS
VALID | LX656680783US : USPS
VALID | LX426278264US : USPS
VALID | LX595440585US : USPS
VALID | LX511891435US : USPS
VALID | LX795967624US : USPS
VALID | LX144310079US : USPS
VALID | LX033319215US : USPS
VALID | LX884822187US : USPS
VALID | LX665025125US : USPS
VALID | LX341609191US : USPS
VALID | LX970694965US : USPS
VALID | LX515486711US : USPS
VALID | LX179416925US : USPS
VALID | LX655104014US : USPS
